,Exchange,Token,LotSize,Symbol,TradingSymbol,Expiry,Instrument,OptionType,StrikePrice,TickSize,Unnamed: 10
37,NFO,86721,50,NIFTY,NIFTY28SEP23C9000,28-SEP-2023,OPTIDX,CE,9000.0,0.05,
38,NFO,86720,50,NIFTY,NIFTY28SEP23P8000,28-SEP-2023,OPTIDX,PE,8000.0,0.05,
39,NFO,86719,50,NIFTY,NIFTY28SEP23C8000,28-SEP-2023,OPTIDX,CE,8000.0,0.05,
40,NFO,86010,25,BANKNIFTY,BANKNIFTY28SEP23P52500,28-SEP-2023,OPTIDX,PE,52500.0,0.05,
41,NFO,86009,25,BANKNIFTY,BANKNIFTY28SEP23C52500,28-SEP-2023,OPTIDX,CE,52500.0,0.05,
42,NFO,86008,25,BANKNIFTY,BANKNIFTY28SEP23P51000,28-SEP-2023,OPTIDX,PE,51000.0,0.05,
43,NFO,86007,25,BANKNIFTY,BANKNIFTY28SEP23C51000,28-SEP-2023,OPTIDX,CE,51000.0,0.05,
44,NFO,86006,25,BANKNIFTY,BANKNIFTY28SEP23P49500,28-SEP-2023,OPTIDX,PE,49500.0,0.05,
45,NFO,86005,25,BANKNIFTY,BANKNIFTY28SEP23C49500,28-SEP-2023,OPTIDX,CE,49500.0,0.05,
46,NFO,86004,25,BANKNIFTY,BANKNIFTY28SEP23P48000,28-SEP-2023,OPTIDX,PE,48000.0,0.05,
47,NFO,86003,25,BANKNIFTY,BANKNIFTY28SEP23C48000,28-SEP-2023,OPTIDX,CE,48000.0,0.05,
48,NFO,86002,25,BANKNIFTY,BANKNIFTY28SEP23P46500,28-SEP-2023,OPTIDX,PE,46500.0,0.05,
49,NFO,86001,25,BANKNIFTY,BANKNIFTY28SEP23C46500,28-SEP-2023,OPTIDX,CE,46500.0,0.05,
50,NFO,86000,25,BANKNIFTY,BANKNIFTY28SEP23P45000,28-SEP-2023,OPTIDX,PE,45000.0,0.05,
51,NFO,85999,25,BANKNIFTY,BANKNIFTY28SEP23C45000,28-SEP-2023,OPTIDX,CE,45000.0,0.05,
52,NFO,85998,25,BANKNIFTY,BANKNIFTY28SEP23P43500,28-SEP-2023,OPTIDX,PE,43500.0,0.05,
53,NFO,85997,25,BANKNIFTY,BANKNIFTY28SEP23C43500,28-SEP-2023,OPTIDX,CE,43500.0,0.05,
54,NFO,85996,25,BANKNIFTY,BANKNIFTY28SEP23P42000,28-SEP-2023,OPTIDX,PE,42000.0,0.05,
55,NFO,85995,25,BANKNIFTY,BANKNIFTY28SEP23C42000,28-SEP-2023,OPTIDX,CE,42000.0,0.05,
56,NFO,85994,25,BANKNIFTY,BANKNIFTY28SEP23P40500,28-SEP-2023,OPTIDX,PE,40500.0,0.05,
57,NFO,85993,25,BANKNIFTY,BANKNIFTY28SEP23C40500,28-SEP-2023,OPTIDX,CE,40500.0,0.05,
58,NFO,85992,25,BANKNIFTY,BANKNIFTY28SEP23P39000,28-SEP-2023,OPTIDX,PE,39000.0,0.05,
59,NFO,85991,25,BANKNIFTY,BANKNIFTY28SEP23C39000,28-SEP-2023,OPTIDX,CE,39000.0,0.05,
60,NFO,85990,25,BANKNIFTY,BANKNIFTY28SEP23P37500,28-SEP-2023,OPTIDX,PE,37500.0,0.05,
61,NFO,85989,25,BANKNIFTY,BANKNIFTY28SEP23C37500,28-SEP-2023,OPTIDX,CE,37500.0,0.05,
62,NFO,85988,25,BANKNIFTY,BANKNIFTY28SEP23P36000,28-SEP-2023,OPTIDX,PE,36000.0,0.05,
63,NFO,85987,25,BANKNIFTY,BANKNIFTY28SEP23C36000,28-SEP-2023,OPTIDX,CE,36000.0,0.05,
64,NFO,85986,25,BANKNIFTY,BANKNIFTY28SEP23P34500,28-SEP-2023,OPTIDX,PE,34500.0,0.05,
65,NFO,85985,25,BANKNIFTY,BANKNIFTY28SEP23C34500,28-SEP-2023,OPTIDX,CE,34500.0,0.05,
66,NFO,85984,25,BANKNIFTY,BANKNIFTY28SEP23P33000,28-SEP-2023,OPTIDX,PE,33000.0,0.05,
67,NFO,85983,25,BANKNIFTY,BANKNIFTY28SEP23C33000,28-SEP-2023,OPTIDX,CE,33000.0,0.05,
68,NFO,85982,25,BANKNIFTY,BANKNIFTY28SEP23P31500,28-SEP-2023,OPTIDX,PE,31500.0,0.05,
69,NFO,85981,25,BANKNIFTY,BANKNIFTY28SEP23C31500,28-SEP-2023,OPTIDX,CE,31500.0,0.05,
70,NFO,85980,25,BANKNIFTY,BANKNIFTY28SEP23P30000,28-SEP-2023,OPTIDX,PE,30000.0,0.05,
71,NFO,85979,25,BANKNIFTY,BANKNIFTY28SEP23C30000,28-SEP-2023,OPTIDX,CE,30000.0,0.05,
72,NFO,85978,25,BANKNIFTY,BANKNIFTY28SEP23P28500,28-SEP-2023,OPTIDX,PE,28500.0,0.05,
73,NFO,85977,25,BANKNIFTY,BANKNIFTY28SEP23C28500,28-SEP-2023,OPTIDX,CE,28500.0,0.05,
74,NFO,73973,50,NIFTY,NIFTY25MAY23P20500,25-MAY-2023,OPTIDX,PE,20500.0,0.05,
75,NFO,73972,50,NIFTY,NIFTY25MAY23C20500,25-MAY-2023,OPTIDX,CE,20500.0,0.05,
76,NFO,73971,50,NIFTY,NIFTY25MAY23P20450,25-MAY-2023,OPTIDX,PE,20450.0,0.05,
77,NFO,73970,50,NIFTY,NIFTY25MAY23C20450,25-MAY-2023,OPTIDX,CE,20450.0,0.05,
78,NFO,73969,50,NIFTY,NIFTY25MAY23P20400,25-MAY-2023,OPTIDX,PE,20400.0,0.05,
79,NFO,73968,50,NIFTY,NIFTY25MAY23C20400,25-MAY-2023,OPTIDX,CE,20400.0,0.05,
80,NFO,73967,50,NIFTY,NIFTY25MAY23P20350,25-MAY-2023,OPTIDX,PE,20350.0,0.05,
81,NFO,73966,50,NIFTY,NIFTY25MAY23C20350,25-MAY-2023,OPTIDX,CE,20350.0,0.05,
82,NFO,73965,50,NIFTY,NIFTY25MAY23P20300,25-MAY-2023,OPTIDX,PE,20300.0,0.05,
83,NFO,73964,50,NIFTY,NIFTY25MAY23C20300,25-MAY-2023,OPTIDX,CE,20300.0,0.05,
84,NFO,73962,50,NIFTY,NIFTY25MAY23P20250,25-MAY-2023,OPTIDX,PE,20250.0,0.05,
85,NFO,73961,50,NIFTY,NIFTY25MAY23C20250,25-MAY-2023,OPTIDX,CE,20250.0,0.05,
86,NFO,73955,50,NIFTY,NIFTY25MAY23P20200,25-MAY-2023,OPTIDX,PE,20200.0,0.05,
87,NFO,73954,50,NIFTY,NIFTY25MAY23C20200,25-MAY-2023,OPTIDX,CE,20200.0,0.05,
88,NFO,73952,50,NIFTY,NIFTY25MAY23P20150,25-MAY-2023,OPTIDX,PE,20150.0,0.05,
89,NFO,73951,50,NIFTY,NIFTY25MAY23C20150,25-MAY-2023,OPTIDX,CE,20150.0,0.05,
90,NFO,73950,50,NIFTY,NIFTY25MAY23P20100,25-MAY-2023,OPTIDX,PE,20100.0,0.05,
91,NFO,73949,50,NIFTY,NIFTY25MAY23C20100,25-MAY-2023,OPTIDX,CE,20100.0,0.05,
92,NFO,73946,50,NIFTY,NIFTY25MAY23P20050,25-MAY-2023,OPTIDX,PE,20050.0,0.05,
93,NFO,73945,50,NIFTY,NIFTY25MAY23C20050,25-MAY-2023,OPTIDX,CE,20050.0,0.05,
94,NFO,73933,50,NIFTY,NIFTY25MAY23P20000,25-MAY-2023,OPTIDX,PE,20000.0,0.05,
95,NFO,73930,50,NIFTY,NIFTY25MAY23C20000,25-MAY-2023,OPTIDX,CE,20000.0,0.05,
96,NFO,73929,50,NIFTY,NIFTY25MAY23P19950,25-MAY-2023,OPTIDX,PE,19950.0,0.05,
97,NFO,73928,50,NIFTY,NIFTY25MAY23C19950,25-MAY-2023,OPTIDX,CE,19950.0,0.05,
98,NFO,73927,50,NIFTY,NIFTY25MAY23P19900,25-MAY-2023,OPTIDX,PE,19900.0,0.05,
99,NFO,73926,50,NIFTY,NIFTY25MAY23C19900,25-MAY-2023,OPTIDX,CE,19900.0,0.05,
100,NFO,73925,50,NIFTY,NIFTY25MAY23P19850,25-MAY-2023,OPTIDX,PE,19850.0,0.05,
101,NFO,73898,50,NIFTY,NIFTY25MAY23C19850,25-MAY-2023,OPTIDX,CE,19850.0,0.05,
102,NFO,73897,50,NIFTY,NIFTY25MAY23P19800,25-MAY-2023,OPTIDX,PE,19800.0,0.05,
103,NFO,73896,50,NIFTY,NIFTY25MAY23C19800,25-MAY-2023,OPTIDX,CE,19800.0,0.05,
104,NFO,73895,50,NIFTY,NIFTY25MAY23P19750,25-MAY-2023,OPTIDX,PE,19750.0,0.05,
105,NFO,73886,50,NIFTY,NIFTY25MAY23C19750,25-MAY-2023,OPTIDX,CE,19750.0,0.05,
106,NFO,73885,50,NIFTY,NIFTY25MAY23P19700,25-MAY-2023,OPTIDX,PE,19700.0,0.05,
107,NFO,73884,50,NIFTY,NIFTY25MAY23C19700,25-MAY-2023,OPTIDX,CE,19700.0,0.05,
108,NFO,73883,50,NIFTY,NIFTY25MAY23P19650,25-MAY-2023,OPTIDX,PE,19650.0,0.05,
109,NFO,73880,50,NIFTY,NIFTY25MAY23C19650,25-MAY-2023,OPTIDX,CE,19650.0,0.05,
110,NFO,73879,50,NIFTY,NIFTY25MAY23P19600,25-MAY-2023,OPTIDX,PE,19600.0,0.05,
111,NFO,73878,50,NIFTY,NIFTY25MAY23C19600,25-MAY-2023,OPTIDX,CE,19600.0,0.05,
112,NFO,73877,50,NIFTY,NIFTY25MAY23P19550,25-MAY-2023,OPTIDX,PE,19550.0,0.05,
113,NFO,73876,50,NIFTY,NIFTY25MAY23C19550,25-MAY-2023,OPTIDX,CE,19550.0,0.05,
114,NFO,73875,50,NIFTY,NIFTY25MAY23P19500,25-MAY-2023,OPTIDX,PE,19500.0,0.05,
115,NFO,73874,50,NIFTY,NIFTY25MAY23C19500,25-MAY-2023,OPTIDX,CE,19500.0,0.05,
116,NFO,73873,50,NIFTY,NIFTY25MAY23P19450,25-MAY-2023,OPTIDX,PE,19450.0,0.05,
117,NFO,73872,50,NIFTY,NIFTY25MAY23C19450,25-MAY-2023,OPTIDX,CE,19450.0,0.05,
118,NFO,73871,50,NIFTY,NIFTY25MAY23P19400,25-MAY-2023,OPTIDX,PE,19400.0,0.05,
119,NFO,73866,50,NIFTY,NIFTY25MAY23C19400,25-MAY-2023,OPTIDX,CE,19400.0,0.05,
120,NFO,73865,50,NIFTY,NIFTY25MAY23P19350,25-MAY-2023,OPTIDX,PE,19350.0,0.05,
121,NFO,73864,50,NIFTY,NIFTY25MAY23C19350,25-MAY-2023,OPTIDX,CE,19350.0,0.05,
122,NFO,73863,50,NIFTY,NIFTY25MAY23P19300,25-MAY-2023,OPTIDX,PE,19300.0,0.05,
123,NFO,73862,50,NIFTY,NIFTY25MAY23C19300,25-MAY-2023,OPTIDX,CE,19300.0,0.05,
124,NFO,73861,50,NIFTY,NIFTY25MAY23P19250,25-MAY-2023,OPTIDX,PE,19250.0,0.05,
125,NFO,73860,50,NIFTY,NIFTY25MAY23C19250,25-MAY-2023,OPTIDX,CE,19250.0,0.05,
126,NFO,73859,50,NIFTY,NIFTY25MAY23P19200,25-MAY-2023,OPTIDX,PE,19200.0,0.05,
127,NFO,73846,50,NIFTY,NIFTY25MAY23C19200,25-MAY-2023,OPTIDX,CE,19200.0,0.05,
128,NFO,73845,50,NIFTY,NIFTY25MAY23P19150,25-MAY-2023,OPTIDX,PE,19150.0,0.05,
129,NFO,73844,50,NIFTY,NIFTY25MAY23C19150,25-MAY-2023,OPTIDX,CE,19150.0,0.05,
130,NFO,73843,50,NIFTY,NIFTY25MAY23P19100,25-MAY-2023,OPTIDX,PE,19100.0,0.05,
131,NFO,73842,50,NIFTY,NIFTY25MAY23C19100,25-MAY-2023,OPTIDX,CE,19100.0,0.05,
132,NFO,73823,50,NIFTY,NIFTY25MAY23P19050,25-MAY-2023,OPTIDX,PE,19050.0,0.05,
133,NFO,73822,50,NIFTY,NIFTY25MAY23C19050,25-MAY-2023,OPTIDX,CE,19050.0,0.05,
134,NFO,73821,50,NIFTY,NIFTY25MAY23P19000,25-MAY-2023,OPTIDX,PE,19000.0,0.05,
135,NFO,73820,50,NIFTY,NIFTY25MAY23C19000,25-MAY-2023,OPTIDX,CE,19000.0,0.05,
136,NFO,73816,50,NIFTY,NIFTY25MAY23P18950,25-MAY-2023,OPTIDX,PE,18950.0,0.05,
137,NFO,73815,50,NIFTY,NIFTY25MAY23C18950,25-MAY-2023,OPTIDX,CE,18950.0,0.05,
138,NFO,73809,50,NIFTY,NIFTY25MAY23P18900,25-MAY-2023,OPTIDX,PE,18900.0,0.05,
139,NFO,73808,50,NIFTY,NIFTY25MAY23C18900,25-MAY-2023,OPTIDX,CE,18900.0,0.05,
140,NFO,73807,50,NIFTY,NIFTY25MAY23P18850,25-MAY-2023,OPTIDX,PE,18850.0,0.05,
141,NFO,73806,50,NIFTY,NIFTY25MAY23C18850,25-MAY-2023,OPTIDX,CE,18850.0,0.05,
142,NFO,73725,50,NIFTY,NIFTY25MAY23P18800,25-MAY-2023,OPTIDX,PE,18800.0,0.05,
143,NFO,73719,50,NIFTY,NIFTY25MAY23C18800,25-MAY-2023,OPTIDX,CE,18800.0,0.05,
144,NFO,73718,50,NIFTY,NIFTY25MAY23P18750,25-MAY-2023,OPTIDX,PE,18750.0,0.05,
145,NFO,73717,50,NIFTY,NIFTY25MAY23C18750,25-MAY-2023,OPTIDX,CE,18750.0,0.05,
146,NFO,73716,50,NIFTY,NIFTY25MAY23P18700,25-MAY-2023,OPTIDX,PE,18700.0,0.05,
147,NFO,73715,50,NIFTY,NIFTY25MAY23C18700,25-MAY-2023,OPTIDX,CE,18700.0,0.05,
148,NFO,73714,50,NIFTY,NIFTY25MAY23P18650,25-MAY-2023,OPTIDX,PE,18650.0,0.05,
149,NFO,73713,50,NIFTY,NIFTY25MAY23C18650,25-MAY-2023,OPTIDX,CE,18650.0,0.05,
150,NFO,73707,50,NIFTY,NIFTY25MAY23P18600,25-MAY-2023,OPTIDX,PE,18600.0,0.05,
151,NFO,73706,50,NIFTY,NIFTY25MAY23C18600,25-MAY-2023,OPTIDX,CE,18600.0,0.05,
152,NFO,73700,50,NIFTY,NIFTY25MAY23P18550,25-MAY-2023,OPTIDX,PE,18550.0,0.05,
153,NFO,73695,50,NIFTY,NIFTY25MAY23C18550,25-MAY-2023,OPTIDX,CE,18550.0,0.05,
154,NFO,73694,50,NIFTY,NIFTY25MAY23P18500,25-MAY-2023,OPTIDX,PE,18500.0,0.05,
155,NFO,73691,50,NIFTY,NIFTY25MAY23C18500,25-MAY-2023,OPTIDX,CE,18500.0,0.05,
156,NFO,73690,50,NIFTY,NIFTY25MAY23P18450,25-MAY-2023,OPTIDX,PE,18450.0,0.05,
157,NFO,73685,50,NIFTY,NIFTY25MAY23C18450,25-MAY-2023,OPTIDX,CE,18450.0,0.05,
158,NFO,73684,50,NIFTY,NIFTY25MAY23P18400,25-MAY-2023,OPTIDX,PE,18400.0,0.05,
159,NFO,73683,50,NIFTY,NIFTY25MAY23C18400,25-MAY-2023,OPTIDX,CE,18400.0,0.05,
160,NFO,73682,50,NIFTY,NIFTY25MAY23P18350,25-MAY-2023,OPTIDX,PE,18350.0,0.05,
161,NFO,73673,50,NIFTY,NIFTY25MAY23C18350,25-MAY-2023,OPTIDX,CE,18350.0,0.05,
162,NFO,73630,50,NIFTY,NIFTY25MAY23P18300,25-MAY-2023,OPTIDX,PE,18300.0,0.05,
163,NFO,73629,50,NIFTY,NIFTY25MAY23C18300,25-MAY-2023,OPTIDX,CE,18300.0,0.05,
164,NFO,73624,50,NIFTY,NIFTY25MAY23P18250,25-MAY-2023,OPTIDX,PE,18250.0,0.05,
165,NFO,73623,50,NIFTY,NIFTY25MAY23C18250,25-MAY-2023,OPTIDX,CE,18250.0,0.05,
166,NFO,73616,50,NIFTY,NIFTY25MAY23P18200,25-MAY-2023,OPTIDX,PE,18200.0,0.05,
167,NFO,73615,50,NIFTY,NIFTY25MAY23C18200,25-MAY-2023,OPTIDX,CE,18200.0,0.05,
168,NFO,73614,50,NIFTY,NIFTY25MAY23P18150,25-MAY-2023,OPTIDX,PE,18150.0,0.05,
169,NFO,73613,50,NIFTY,NIFTY25MAY23C18150,25-MAY-2023,OPTIDX,CE,18150.0,0.05,
170,NFO,73612,50,NIFTY,NIFTY25MAY23P18100,25-MAY-2023,OPTIDX,PE,18100.0,0.05,
171,NFO,73611,50,NIFTY,NIFTY25MAY23C18100,25-MAY-2023,OPTIDX,CE,18100.0,0.05,
172,NFO,73608,50,NIFTY,NIFTY25MAY23P18050,25-MAY-2023,OPTIDX,PE,18050.0,0.05,
173,NFO,73607,50,NIFTY,NIFTY25MAY23C18050,25-MAY-2023,OPTIDX,CE,18050.0,0.05,
174,NFO,73604,50,NIFTY,NIFTY25MAY23P18000,25-MAY-2023,OPTIDX,PE,18000.0,0.05,
175,NFO,73603,50,NIFTY,NIFTY25MAY23C18000,25-MAY-2023,OPTIDX,CE,18000.0,0.05,
176,NFO,73600,50,NIFTY,NIFTY25MAY23P17950,25-MAY-2023,OPTIDX,PE,17950.0,0.05,
177,NFO,73599,50,NIFTY,NIFTY25MAY23C17950,25-MAY-2023,OPTIDX,CE,17950.0,0.05,
178,NFO,73596,50,NIFTY,NIFTY25MAY23P17900,25-MAY-2023,OPTIDX,PE,17900.0,0.05,
179,NFO,73595,50,NIFTY,NIFTY25MAY23C17900,25-MAY-2023,OPTIDX,CE,17900.0,0.05,
180,NFO,73594,50,NIFTY,NIFTY25MAY23P17850,25-MAY-2023,OPTIDX,PE,17850.0,0.05,
181,NFO,73593,50,NIFTY,NIFTY25MAY23C17850,25-MAY-2023,OPTIDX,CE,17850.0,0.05,
182,NFO,73592,50,NIFTY,NIFTY25MAY23P17800,25-MAY-2023,OPTIDX,PE,17800.0,0.05,
183,NFO,73591,50,NIFTY,NIFTY25MAY23C17800,25-MAY-2023,OPTIDX,CE,17800.0,0.05,
184,NFO,73590,50,NIFTY,NIFTY25MAY23P17750,25-MAY-2023,OPTIDX,PE,17750.0,0.05,
185,NFO,73589,50,NIFTY,NIFTY25MAY23C17750,25-MAY-2023,OPTIDX,CE,17750.0,0.05,
186,NFO,73541,50,NIFTY,NIFTY25MAY23P17700,25-MAY-2023,OPTIDX,PE,17700.0,0.05,
187,NFO,73540,50,NIFTY,NIFTY25MAY23C17700,25-MAY-2023,OPTIDX,CE,17700.0,0.05,
188,NFO,73539,50,NIFTY,NIFTY25MAY23P17650,25-MAY-2023,OPTIDX,PE,17650.0,0.05,
189,NFO,73538,50,NIFTY,NIFTY25MAY23C17650,25-MAY-2023,OPTIDX,CE,17650.0,0.05,
190,NFO,73513,50,NIFTY,NIFTY25MAY23P17600,25-MAY-2023,OPTIDX,PE,17600.0,0.05,
191,NFO,73512,50,NIFTY,NIFTY25MAY23C17600,25-MAY-2023,OPTIDX,CE,17600.0,0.05,
192,NFO,73503,50,NIFTY,NIFTY25MAY23P17550,25-MAY-2023,OPTIDX,PE,17550.0,0.05,
193,NFO,73502,50,NIFTY,NIFTY25MAY23C17550,25-MAY-2023,OPTIDX,CE,17550.0,0.05,
194,NFO,73501,50,NIFTY,NIFTY25MAY23P17500,25-MAY-2023,OPTIDX,PE,17500.0,0.05,
195,NFO,73500,50,NIFTY,NIFTY25MAY23C17500,25-MAY-2023,OPTIDX,CE,17500.0,0.05,
196,NFO,73499,50,NIFTY,NIFTY25MAY23P17450,25-MAY-2023,OPTIDX,PE,17450.0,0.05,
197,NFO,73498,50,NIFTY,NIFTY25MAY23C17450,25-MAY-2023,OPTIDX,CE,17450.0,0.05,
198,NFO,73497,50,NIFTY,NIFTY25MAY23P17400,25-MAY-2023,OPTIDX,PE,17400.0,0.05,
199,NFO,73496,50,NIFTY,NIFTY25MAY23C17400,25-MAY-2023,OPTIDX,CE,17400.0,0.05,
200,NFO,73495,50,NIFTY,NIFTY25MAY23P17350,25-MAY-2023,OPTIDX,PE,17350.0,0.05,
201,NFO,73494,50,NIFTY,NIFTY25MAY23C17350,25-MAY-2023,OPTIDX,CE,17350.0,0.05,
202,NFO,73493,50,NIFTY,NIFTY25MAY23P17300,25-MAY-2023,OPTIDX,PE,17300.0,0.05,
203,NFO,73492,50,NIFTY,NIFTY25MAY23C17300,25-MAY-2023,OPTIDX,CE,17300.0,0.05,
204,NFO,73491,50,NIFTY,NIFTY25MAY23P17250,25-MAY-2023,OPTIDX,PE,17250.0,0.05,
205,NFO,73490,50,NIFTY,NIFTY25MAY23C17250,25-MAY-2023,OPTIDX,CE,17250.0,0.05,
206,NFO,73435,50,NIFTY,NIFTY25MAY23P17200,25-MAY-2023,OPTIDX,PE,17200.0,0.05,
207,NFO,73434,50,NIFTY,NIFTY25MAY23C17200,25-MAY-2023,OPTIDX,CE,17200.0,0.05,
208,NFO,73433,50,NIFTY,NIFTY25MAY23P17150,25-MAY-2023,OPTIDX,PE,17150.0,0.05,
209,NFO,73432,50,NIFTY,NIFTY25MAY23C17150,25-MAY-2023,OPTIDX,CE,17150.0,0.05,
210,NFO,73413,50,NIFTY,NIFTY25MAY23P17100,25-MAY-2023,OPTIDX,PE,17100.0,0.05,
211,NFO,73412,50,NIFTY,NIFTY25MAY23C17100,25-MAY-2023,OPTIDX,CE,17100.0,0.05,
212,NFO,73411,50,NIFTY,NIFTY25MAY23P17050,25-MAY-2023,OPTIDX,PE,17050.0,0.05,
213,NFO,73410,50,NIFTY,NIFTY25MAY23C17050,25-MAY-2023,OPTIDX,CE,17050.0,0.05,
214,NFO,73401,50,NIFTY,NIFTY25MAY23P17000,25-MAY-2023,OPTIDX,PE,17000.0,0.05,
215,NFO,73400,50,NIFTY,NIFTY25MAY23C17000,25-MAY-2023,OPTIDX,CE,17000.0,0.05,
216,NFO,73399,50,NIFTY,NIFTY25MAY23P16950,25-MAY-2023,OPTIDX,PE,16950.0,0.05,
217,NFO,73398,50,NIFTY,NIFTY25MAY23C16950,25-MAY-2023,OPTIDX,CE,16950.0,0.05,
218,NFO,73383,50,NIFTY,NIFTY25MAY23P16900,25-MAY-2023,OPTIDX,PE,16900.0,0.05,
219,NFO,73382,50,NIFTY,NIFTY25MAY23C16900,25-MAY-2023,OPTIDX,CE,16900.0,0.05,
220,NFO,73381,50,NIFTY,NIFTY25MAY23P16850,25-MAY-2023,OPTIDX,PE,16850.0,0.05,
221,NFO,73380,50,NIFTY,NIFTY25MAY23C16850,25-MAY-2023,OPTIDX,CE,16850.0,0.05,
222,NFO,73371,50,NIFTY,NIFTY25MAY23P16800,25-MAY-2023,OPTIDX,PE,16800.0,0.05,
223,NFO,73370,50,NIFTY,NIFTY25MAY23C16800,25-MAY-2023,OPTIDX,CE,16800.0,0.05,
224,NFO,73365,50,NIFTY,NIFTY25MAY23P16750,25-MAY-2023,OPTIDX,PE,16750.0,0.05,
225,NFO,73364,50,NIFTY,NIFTY25MAY23C16750,25-MAY-2023,OPTIDX,CE,16750.0,0.05,
226,NFO,73311,50,NIFTY,NIFTY25MAY23P16700,25-MAY-2023,OPTIDX,PE,16700.0,0.05,
